#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BAFD0F
#Date Time: 2025-11-25 16:44:04.475.821.420
#Sample rate: 1e+08Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 6.5 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V)
-0.00015784,4.023670110601094
-0.00015783,4.016422157340967
-0.00015782,4.001926250820733
-0.00015781,4.012798180710904
-0.0001578,3.983806367670398
-0.00015779,3.958438531259954
-0.00015778,3.969310461150144
-0.00015777,3.954814554629917
-0.00015776,3.925822741589391
-0.00015775,3.929446718219448
-0.00015774,3.914950811699194
-0.00015773,3.900454905178941
-0.00015772,3.889582975288771
-0.00015771,3.882335022028618
-0.0001577,3.878711045398561
-0.00015769,3.875087068768498
-0.00015768,3.835223325837801
-0.00015767,3.838847302467858
-0.00015766,3.806231512797301
-0.00015765,3.809855489427358
-0.00015764,3.780863676386852
-0.00015763,3.784487653016915
-0.00015762,3.755495839976408
-0.00015761,3.744623910086232
-0.0001576,3.751871863346345
-0.00015759,3.740999933456155
-0.00015758,3.744623910086219
-0.00015757,3.708384143785585
-0.00015756,3.701136190525472
-0.00015755,3.683016307375142
-0.00015754,3.650400517704572
-0.00015753,3.654024494334635
-0.00015752,3.639528587814382
-0.00015751,3.621408704664098
-0.0001575,3.606912798143772
-0.00015749,3.585168938363433
-0.00015748,3.592416891623559
-0.00015747,3.577920985103305
-0.00015746,3.556177125322965
-0.00015745,3.556177125322912
-0.00015744,3.548929172062799
-0.00015743,3.512689405762166
-0.00015742,3.527185312282419
-0.00015741,3.490945545981852
-0.0001574,3.505441452501986
-0.00015739,3.476449639461532
-0.00015738,3.48369759272166
-0.00015737,3.472825662831469
-0.00015736,3.451081803051089
-0.00015735,3.432961919900806
-0.00015734,3.425713966640646
-0.00015733,3.403970106860267
-0.00015732,3.411218060120393
-0.00015731,3.389474200340013
-0.0001573,3.364106363929616
-0.00015729,3.367730340559593
-0.00015728,3.345986480779253
-0.00015727,3.34236250414919
-0.00015726,3.35323443403938
-0.00015725,3.320618644368869
-0.00015724,3.327866597628838
-0.00015723,3.273506948177987
-0.00015722,3.27713092480805
-0.00015721,3.280754901438113
-0.0001572,3.273506948178
-0.00015719,3.259011041657713
-0.00015718,3.248139111767544
-0.00015717,3.240891158507416
