#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BB05B2
#Date Time: 2026-03-11 13:29:20.473.934.710
#Sample rate: 5e+07Hz
#Samples: 32768
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 5 V/div Offset: 0 V Attenuation: 10 X Sample Mode: Average

Time (s),Channel 2 (V)
-0.00032768,6.519937629040165
-0.00032766,6.49444517961036
-0.00032764,6.464172895912452
-0.00032762,6.456206505465652
-0.0003276,6.440273724572024
-0.00032758,6.43230733412521
-0.00032756,6.398848494248591
-0.00032754,6.365389654372033
-0.00032752,6.370169488640016
-0.0003275,6.346270317299617
-0.00032748,6.325557702137901
-0.00032746,6.295285418440007
-0.00032744,6.288912306082567
-0.00032742,6.26501313474209
-0.0003274,6.252266910027211
-0.00032738,6.228367738686768
-0.00032736,6.218808070150591
-0.00032734,6.198095454988912
-0.00032732,6.177382839827123
-0.0003273,6.158263502754804
-0.00032728,6.153483668486715
-0.00032726,6.132771053324999
-0.00032724,6.110465160073919
-0.00032722,6.065853373571754
-0.0003272,6.062666817393034
-0.00032718,6.06585337357176
-0.00032716,6.029207977516415
-0.00032714,6.00371552808661
-0.00032712,5.99256258146109
-0.0003271,5.975036522478079
-0.00032708,5.968663410120628
-0.00032706,5.949544073048274
-0.00032704,5.933611292154645
-0.00032702,5.916085233171686
-0.000327,5.882626393294991
-0.00032698,5.858727221954593
-0.00032696,5.850760831507778
-0.00032694,5.838014606792876
-0.00032692,5.822081825899277
-0.0003269,5.79021626411195
-0.00032688,5.767910370860911
-0.00032686,5.767910370860911
-0.00032684,5.734451530984292
-0.00032682,5.726485140537492
-0.0003268,5.693026300660847
-0.00032678,5.686653188303407
-0.00032676,5.672313685499142
-0.00032674,5.643634679890611
-0.00032672,5.627701898996983
-0.0003267,5.616548952371463
-0.00032668,5.608582561924629
-0.00032666,5.573530443958647
-0.00032664,5.573530443958647
-0.00032662,5.540071604082027
-0.0003266,5.525732101277788
-0.00032658,5.498646373758596
-0.00032656,5.500239651847957
-0.00032654,5.469967368150063
-0.00032652,5.455627865345797
-0.0003265,5.438101806362839
-0.00032648,5.412609356932973
-0.00032646,5.396676576039374
-0.00032644,5.382337073235108
-0.00032642,5.353658067626577
-0.0003264,5.339318564822338
-0.00032638,5.310639559213749
-0.00032636,5.29311350023079
-0.00032634,5.283553831694613
-0.00032632,5.267621050800985
-0.0003263,5.250094991817994
-0.00032628,5.224602542388235
-0.00032626,5.211856317673286
-0.00032624,5.191143702511569
-0.00032622,5.130599135115782
-0.0003262,5.136972247473233
-0.00032618,5.136972247473233
-0.00032616,5.12103946657957
-0.00032614,5.101920129507251
-0.00032612,5.089173904792348
-0.0003261,5.054121786826366
-0.00032608,5.033409171664687
-0.00032606,5.007916722234838
-0.00032604,5.004730166056119
-0.00032602,4.991983941341216
-0.000326,4.968084770000774
-0.00032598,4.947372154839094
-0.00032596,4.928252817766689
-0.00032594,4.920286427319889
-0.00032592,4.885234309353907
-0.0003259,4.883641031264544
-0.00032588,4.859741859924101
-0.00032586,4.834249410494276
-0.00032584,4.823096463868756
-0.00032582,4.803977126796402
-0.0003258,4.78007795545596
-0.00032578,4.765738452651695
-0.00032576,4.762551896472975
-0.00032574,4.733872890864401
-0.00032572,4.713160275702721
-0.0003257,4.698820772898456
-0.00032568,4.687667826272916
-0.00032566,4.668548489200597
-0.00032564,4.639869483592011
-0.00032562,4.628716536966492
-0.0003256,4.608003921804775
-0.00032558,4.58251147237497
-0.00032556,4.56179885721329
-0.00032554,4.542679520140858
-0.00032552,4.520373626889819
-0.0003255,4.507627402174917
-0.00032548,4.477355118477023
-0.00032546,4.458235781404669
-0.00032544,4.456642503315257
-0.00032542,4.429556775796138
-0.0003254,4.415217272991873
-0.00032538,4.384944989293979
-0.00032536,4.365825652221625
-0.00032534,4.353079427506746
-0.00032532,4.338739924702457
-0.0003253,4.319620587630103
-0.00032528,4.308467641004563
-0.00032526,4.295721416289661
-0.00032524,4.263855854502462
-0.00032522,4.257482742144918
-0.0003252,4.238363405072599
-0.00032518,4.211277677553431
-0.00032516,4.196938174749166
-0.00032514,4.174632281498127
-0.00032512,4.155512944425709
-0.0003251,4.14276671971083
-0.00032508,4.118867548370387
-0.00032506,4.106121323655485
-0.00032504,4.075849039957646
-0.00032502,4.063102815242645
-0.000325,4.039203643902246
-0.00032498,4.015304472561803
-0.00032496,4.005744804025626
-0.00032494,3.981845632685184
-0.00032492,3.959539739434145
-0.0003249,3.932454011914936
-0.00032488,3.934047290004299
-0.00032486,3.90058845012768
-0.00032484,3.894215337770229
-0.00032482,3.887842225412789
-0.0003248,3.849603551268046
-0.00032478,3.836857326553167
-0.00032476,3.82729765801699
-0.00032474,3.795432096229733
-0.00032472,3.771532924889335
-0.0003247,3.765159812531817
-0.00032468,3.752413587816937
-0.00032466,3.734887528833946
-0.00032464,3.712581635582866
-0.00032462,3.699835410867987
-0.0003246,3.675936239527466
-0.00032458,3.645663955829628
-0.00032456,3.613798394042371
-0.00032454,3.601052169327469
-0.00032452,3.580339554165752
-0.0003245,3.583526110344451
-0.00032448,3.569186607540212
-0.00032446,3.53413448957423
-0.00032444,3.516608430591239
-0.00032442,3.503862205876336
-0.0003244,3.481556312625297
-0.00032438,3.465623531731579
-0.00032436,3.43853780421246
-0.00032434,3.427384857586921
-0.00032432,3.409858798603929
-0.0003243,3.39711257388905
-0.00032428,3.376399958727272
-0.00032426,3.355687343565593
-0.00032424,3.336568006493239
-0.00032422,3.322228503688974
-0.0003242,3.293549498080495
-0.00032418,3.28080327336552
-0.00032416,3.269650326740001
-0.00032414,3.242564599220833
-0.00032412,3.223445262148479
-0.0003241,3.201139368897399
-0.00032408,3.188393144182474
-0.00032406,3.175646919467594
-0.00032404,3.151747748127152
-0.00032402,3.103949405446267
-0.000324,3.100762849267541
-0.00032398,3.089609902642022
-0.00032396,3.081643512195147
-0.00032394,3.059337618944108
-0.00032392,3.03225189142494
-0.0003239,3.0210989447994
-0.00032388,3.006759441995161
-0.00032386,2.962147655492941
-0.00032384,2.943028318420621
-0.00032382,2.928688815616356
-0.0003238,2.911162756633365
-0.00032378,2.892043419561046
-0.00032376,2.871330804399303
-0.00032374,2.876110638667383
-0.00032372,2.839465242612038
-0.0003237,2.804413124646056
-0.00032368,2.796446734199241
-0.00032366,2.764581172411988
-0.00032364,2.766174450501348
-0.00032362,2.726342498267277
-0.0003236,2.702443326926836
-0.00032358,2.691290380301296
-0.00032356,2.667391208960897
-0.00032354,2.662611374692765
-0.00032352,2.633932369084234
-0.0003235,2.613219753922517
-0.00032348,2.606846641565066
-0.00032346,2.562234855062988
-0.00032344,2.549488630347993
-0.00032342,2.543115517990553
-0.0003234,2.517623068560748
-0.00032338,2.498503731488394
-0.00032336,2.461858335433115
-0.00032334,2.458671779254257
-0.00032332,2.422026383198978
-0.0003233,2.40609360230535
-0.00032328,2.382194430964907
-0.00032326,2.366261650071308
-0.00032324,2.345549034909507
-0.00032322,2.315276751211669
-0.0003232,2.288191023692501
-0.00032318,2.286597745603138
-0.00032316,2.261105296173333
-0.00032314,2.229239734386134
-0.00032312,2.200560728777545
-0.0003231,2.18622122597328
-0.00032308,2.167101888900926
-0.00032306,2.154355664186023
-0.00032304,2.130456492845624
-0.00032302,2.122490102398732
-0.000323,2.103370765326413
-0.00032298,2.068318647360431
-0.00032296,2.060352256913617
-0.00032294,2.044419476020017
-0.00032292,2.026893417036968
-0.0003229,2.010960636143369
-0.00032288,2.004587523785918
-0.00032286,1.964755571551847
-0.00032284,1.959975737283767
-0.00032282,1.944042956390107
-0.0003228,1.931296731675227
-0.00032278,1.916957228870962
-0.00032276,1.907397560334785
-0.00032274,1.878718554726254
-0.00032272,1.869158886190057
-0.0003227,1.858005939564538
-0.00032268,1.826140377777281
-0.00032266,1.821360543509193
-0.00032264,1.802241206436839
-0.00032262,1.802241206436839
-0.0003226,1.783121869364453
-0.00032258,1.765595810381494
-0.00032256,1.762409254202768
-0.00032254,1.75762941993468
-0.00032252,1.725763858147481
-0.0003225,1.725763858147397
-0.00032248,1.711424355343158
-0.00032246,1.706644521075069
-0.00032244,1.695491574449529
-0.00032242,1.68274534973465
-0.0003224,1.682745349734577
-0.00032238,1.655659622215459
-0.00032236,1.668405846930361
-0.00032234,1.65087978794737
-0.00032232,1.642913397500556
-0.0003223,1.620607504249477
-0.00032228,1.620607504249477
-0.00032226,1.607861279534574
-0.00032224,1.609454557623937
-0.00032222,1.607861279534574
-0.0003222,1.595115054819694
-0.00032218,1.60148816717712
-0.00032216,1.59989488908776
-0.00032214,1.598301610998397
-0.00032212,1.580775552015406
-0.0003221,1.596708332909005
-0.00032208,1.598301610998429
-0.00032206,1.615827669981388
-0.00032204,1.609454557623937
-0.00032202,1.625387338517565
-0.000322,1.634947007053725
-0.00032198,1.639726841321848
-0.00032196,1.649286509858007
-0.00032194,1.68433862782399
-0.00032192,1.687525184002715
-0.0003219,1.720984023879335
-0.00032188,1.735323526683635
-0.00032186,1.754442863755954
-0.00032184,1.783121869364485
-0.00032182,1.81976726541983
-0.0003218,1.838886602492184
-0.00032178,1.889871501351701
-0.00032176,1.89305805753052
-0.00032174,1.939263122122042
-0.00032172,1.95519590301567
-0.0003217,1.990248020981652
-0.00032168,2.03804636366245
-0.00032166,2.061945535003043
-0.00032164,2.096997652968962
-0.00032162,2.132049770934944
-0.0003216,2.170288445079652
-0.00032158,2.191001060241331
-0.00032156,2.216493509671217
-0.00032154,2.240392681011616
-0.00032152,2.277038077066961
-0.0003215,2.32164986356912
-0.00032148,2.337582644462719
-0.00032146,2.355108703445794
-0.00032144,2.385380987143633
-0.00032142,2.391754099501084
-0.0003214,2.428399495556429
-0.00032138,2.441145720271332
-0.00032136,2.47779111632661
-0.00032134,2.476197838237314
-0.00032132,2.512843234292659
-0.0003213,2.516029790471385
-0.00032128,2.551081908437367
-0.00032126,2.565421411241606
-0.00032124,2.579760914045909
-0.00032122,2.586134026403349
-0.0003212,2.590913860671438
-0.00032118,2.616406310101243
-0.00032116,2.627559256726762
-0.00032114,2.637118925263003
-0.00032112,2.661018096603402
-0.0003211,2.668984487050216
-0.00032108,2.686510546033207
-0.00032106,2.697663492658727
-0.00032104,2.72315594208858
-0.00032102,2.73908872298218
-0.000321,2.745461835339631
-0.00032098,2.748648391518357
-0.00032096,2.766174450501348
-0.00032094,2.780513953305677
-0.00032092,2.815566071271595
-0.0003209,2.834685408343949
-0.00032088,2.855398023505666
-0.00032086,2.855398023505666
-0.00032084,2.872924082488625
-0.00032082,2.898416531918514
-0.0003208,2.927095537526993
-0.00032078,2.938248484152533
-0.00032076,2.960554377403612
-0.00032074,2.978080436386572
-0.00032072,2.990826661101541
-0.0003207,3.00994599817386
-0.00032068,3.037031725693028
-0.00032066,3.046591394229205
-0.00032064,3.075270399837684
-0.00032062,3.08960990264203
-0.0003206,3.10554268353563
-0.00032058,3.119882186339895
-0.00032056,3.153341026216514
-0.00032054,3.166087250931417
-0.00032052,3.180426753735711
-0.0003205,3.196359534629311
-0.00032048,3.201139368897399
-0.00032046,3.22981837450593
-0.00032044,3.248937711578284
-0.00032042,3.245751155399564
-0.0003204,3.283989829544266
-0.00032038,3.283989829544266
-0.00032036,3.304702444705983
-0.00032034,3.319041947510248
-0.00032032,3.331788172225128
-0.0003203,3.339754562671986
-0.00032028,3.350907509297505
-0.00032026,3.368433568280496
-0.00032024,3.384366349174124
-0.00032022,3.401892408157083
-0.0003202,3.419418467140138
-0.00032018,3.436944526123098
-0.00032016,3.452877307016726
-0.00032014,3.457657141284814
-0.00032012,3.475183200267773
-0.0003201,3.49908237160828
-0.00032008,3.516608430591239
-0.00032006,3.527761377216779
-0.00032004,3.54528743619977
-0.00032002,3.546880714289133
-0.00032,3.577152997986971
-0.00031998,3.591492500791292
-0.00031996,3.60742528168492
-0.00031994,3.616984950221097
-0.00031992,3.642477399650902
-0.0003199,3.655223624365782
-0.00031988,3.685495908063716
-0.00031986,3.695055576599875
-0.00031984,3.706208523225415
-0.00031982,3.728514416476495
-0.0003198,3.754006865906254
-0.00031978,3.769939646799943
-0.00031976,3.777906037246742
-0.00031974,3.798618652408459
-0.00031972,3.824111101838264
-0.0003197,3.841637160821223
-0.00031968,3.859163219804275
-0.00031966,3.875096000697875
-0.00031964,3.891028781591503
-0.00031962,3.914927952931945
-0.0003196,3.937233846183025
-0.00031958,3.943606958540465
-0.00031956,3.969099407970281
-0.00031954,3.997778413578812
-0.00031952,4.000964969757538
-0.0003195,4.039203643902246
-0.00031948,4.050356590527765
-0.00031946,4.06150953715336
-0.00031944,4.080628874225679
-0.00031942,4.10930787983421
-0.0003194,4.102934767476759
-0.00031938,4.134800329263958
-0.00031936,4.163479334872555
-0.00031934,4.168259169140635
-0.00031932,4.177818837676812
-0.0003193,4.21605751182152
-0.00031928,4.246329795519358
-0.00031926,4.252702907876882
