#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BB05B2
#Date Time: 2026-03-11 12:35:31.736.871.640
#Sample rate: 3200Hz
#Samples: 16384
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 5 V/div Offset: 0 V Attenuation: 10 X Sample Mode: Average
#Channel 2: Range: 5 V/div Offset: 0 V Attenuation: 10 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-2.56,0.03998735181651582,0.05122858622709334
-2.5596875,0.03440632309942243,0.01697310730579259
-2.559375,0.0280280045656072,-0.01090925925803149
-2.5590625,0.02643342493214615,-0.02206220588359663
-2.55875,0.02324426566523563,-0.03719834773254348
-2.5584375,0.02085239621505275,-0.05631768480489738
-2.558125,0.02085239621505275,-0.0698605485644814
-2.5578125,0.01925781658159749,-0.0794202171006656
-2.5575,0.01925781658159749,-0.08738660754747248
-2.5571875,0.01925781658159749,-0.09296308086024237
-2.556875,0.02005510639832584,-0.08101349519000886
-2.5565625,0.02085239621505275,-0.06747063143043716
-2.55625,0.02164968603178038,-0.05791096289426021
-2.5559375,0.02244697584850728,-0.04914793340277264
-2.555625,0.02563613511541852,-0.02763867919636652
-2.5553125,0.02962258419905666,-0.00692606403464979
-2.555,0.02643342493214905,-0.01011262021337254
-2.5546875,0.01527136749795935,-0.06747063143043716
-2.554375,0.0152713674979608,-0.1065059446198257
-2.5540625,0.01686594713141461,-0.105709305575145
-2.55375,0.01686594713141461,-0.1001328322623751
-2.5534375,0.01766323694814441,-0.08738660754745581
-2.553125,0.02005510639832512,-0.06906390951979999
-2.5528125,0.02085239621505275,-0.04436809913467619
-2.5525,0.02324426566523346,-0.02684204015170105
-2.5521875,0.02723071474887378,-0.008519342124012615
-2.551875,0.03201445364923954,0.007413438769615641
-2.5515625,0.03520361291614716,0.02175294157386803
-2.55125,0.03520361291615006,0.02732941488665096
