#Digilent WaveForms Logger
#Device Name: Discovery3
#Serial Number: SN:210415BB05B2
#Date Time: 2026-03-11 13:08:30.247

Time (s),C1 DC (V),C2 DC (V)
0,3.782670475550857,3.740722141593174
0.2,3.781356047130452,3.739367116147796
0.4,3.780266440423527,3.73856148185022
0.6000000000000001,3.781660821674052,3.73968131789991
0.8,3.784073616088918,3.740827604855378
1,3.786250153053823,3.740559838057319
1.2,3.787205110046261,3.739265591347669
1.4,3.801767133600651,3.741251402823761
1.6,3.823493427094702,3.741769189029004
1.8,3.873368615681144,3.741551747024114
2,3.902280152741919,3.73836475323853
2.2,3.54978885500356,3.736718232976622
2.4,3.560292068026825,3.736298178978279
2.6,3.556902856365122,3.735477957784141
2.8,3.582229168374177,3.735371376193196
3,3.593055258468611,3.735971189380144
3.2,3.562984186388684,3.73578126798681
3.4,3.586497423202957,3.7351940481539
3.6,3.594864878611083,3.736349816592135
3.8,3.581734657929965,3.736655120337353
4,3.556958867142625,3.736430871114063
4.2,3.584681087606689,3.735430112763376
4.4,3.585015497739767,3.736595411307371
4.600000000000001,3.567022071955244,3.736160430051648
4.800000000000001,3.582397006055912,3.736781637353601
5,3.591372015380175,3.736610727548769
5.2,3.588917273710547,3.735639094368248
5.4,3.556247856308137,3.735774558014395
5.600000000000001,3.586289633437494,3.737127444048272
5.800000000000001,3.59824800743422,3.738608840640929
6,3.568275136700174,3.735669143375179
6.2,3.582091355583557,3.734742437836057
6.4,3.58671041987823,3.733619878899032
6.600000000000001,3.592303127645374,3.734185607371017
6.800000000000001,3.566624400301079,3.733626345756502
7,3.591071425829497,3.733790302473969
7.2,3.589135574621051,3.73435787861951
7.4,3.567384755122025,3.734305511660819
7.600000000000001,3.58343644151034,3.734302788773437
7.800000000000001,3.592796956811666,3.734680978378517
8,3.597922405251379,3.733840919005071
8.200000000000001,3.575666077536003,3.734595790902581
8.4,3.575126651411824,3.734254263030881
8.6,3.600139526915202,3.734068474591545
8.800000000000001,3.603254426888892,3.735372640390881
9,3.588806420060461,3.735779517559212
9.200000000000001,3.608233789877588,3.735161081767638
9.4,3.606470204657346,3.735561005848606
9.600000000000001,3.600159429962986,3.735709889439585
9.800000000000001,3.586234790564951,3.736311842038066
10,3.603999988246428,3.735674394657931
10.2,3.596269673681233,3.735374001834584
10.4,3.609372935221812,3.735567861689974
10.6,3.581639133033081,3.734993332457081
10.8,3.607265547965739,3.734757267847593
11,3.589485167519198,3.733484561121854
11.2,3.597794081688959,3.734140971467485
11.4,3.601459064919982,3.733650851742763
11.6,3.594742540561808,3.73221973132024
11.8,3.588414295955045,3.731845431554267
12,3.601958830936682,3.734014016844356
12.2,3.599092208101981,3.73557063320035
12.4,3.600127604551603,3.733705795719816
12.6,3.594828040940705,3.73231289296635
12.8,3.599919036182812,3.73282965808885
13,3.594722296875048,3.733430151997641
13.2,3.599074981503155,3.733769589080815
13.4,3.603066880810136,3.734051602414521
13.6,3.610607654125612,3.733952314271856
13.8,3.591161013875928,3.735625966161339
14,3.600514375759105,3.734696878095802
14.2,3.604588709694365,3.734083207357084
14.4,3.603420610038522,3.735950719101981
14.6,3.589412124793706,3.736051028327387
14.8,3.595595987144194,3.736658232208586
15,3.595377686233705,3.737910079672271
15.2,3.573302043155117,3.73698483282281
15.4,3.552769737877909,3.736523789645226
15.6,3.592039375765089,3.736809741440985
15.8,3.517345086580649,3.736345148785266
16,3.540264784338866,3.736527436369375
16.2,3.587031350441059,3.73551063243247
16.4,3.610544392604477,3.735447082186388
16.6,3.599077657952133,3.735966813311154
16.8,3.595495498651037,3.735379301740321
17,3.60292780278916,3.735513890172666
17.2,3.598927095531915,3.73474618180619
17.4,3.596255074868656,3.73581919391789
17.6,3.592072174430645,3.736753338774271
17.8,3.597321858765299,3.734677623392323
18,3.595587471170182,3.733148381778887
18.2,3.597360740269398,3.734758629291265
18.4,3.591040719660404,3.732708246486383
18.6,3.59805958542675,3.734777057403943
18.8,3.592393542957863,3.733556328652965
19,3.591659368674088,3.735205134195276
19.2,3.591374886479967,3.734011585694913
19.4,3.594495577315981,3.732544970490792
19.6,3.590404357420854,3.733887499828102
19.8,3.600225659909315,3.735599904239445
20,3.585359932390822,3.733771485377376
20.2,3.59163591324856,3.73267625255991
20.4,3.590222358890906,3.733931552255739
20.6,3.597184143300128,3.736282765490884
20.8,3.599560051381897,3.736309654003545
21,3.593748264100934,3.733901211510877
21.2,3.576516750344008,3.732302876630719
21.4,3.596978932658227,3.732550124527567
21.6,3.597520402616134,3.734668725385403
21.8,3.588991095039406,3.733306892721627
22,3.579879781468503,3.733310393576817
22.2,3.597332321247646,3.734804723884432
22.4,3.599587010522447,3.735695740149915
22.6,3.591804675521813,3.734972667686946
22.8,3.581560737409656,3.733194962601936
23,3.586021501913431,3.731462768634247
23.2,3.600722165524574,3.733484318006908
23.4,3.580281248813968,3.731567162190712
23.6,3.582408928419496,3.733351577248117
23.8,3.582972685897934,3.73331272748025
24,3.599800396499395,3.734998535116858
24.2,3.599274887909847,3.734702226624571
24.4,3.595755357514645,3.73465642376934
24.6,3.590549323629578,3.733209598121503
24.8,3.594078099939399,3.734724155592381
25,3.590962956652177,3.73566364897749
25.2,3.600996379887183,3.735532318285343
25.4,3.608594818512249,3.735630925706164
25.6,3.573534942878183,3.736885885041059
25.8,3.582041719620868,3.736232878304617
26,3.579216557413833,3.736057495184873
26.2,3.584123315641389,3.735987283589387
26.4,3.566759196003728,3.734972862178911
26.6,3.594670276439611,3.736143703743606
26.8,3.611180560193235,3.736168452844792
27,3.596594545923412,3.735471004696783
27.2,3.561877304420243,3.735100351654936
27.4,3.580588407830302,3.735472512009417
27.6,3.597357236554374,3.736317725419671
27.8,3.545399673344027,3.733530898829969
28,3.510866425541801,3.733733462200345
28.2,3.378725516949036,3.733330085887191
28.4,3.382773086394594,3.73476349159015
28.6,3.757263432108351,3.739149674142937
28.8,3.760027522616191,3.738969282855368
29,3.780830538540974,3.740677457066687
29.2,3.781223976539517,3.741550239711493
29.4,3.783982422173095,3.740217872578762
29.6,3.784980640313388,3.739893800359973
29.8,3.782843666130556,3.740495023613585
30,3.782438646407372,3.739534038867525
30.2,3.779478104545235,3.740899226517565
30.4,3.778343192856643,3.740397972128396
30.6,3.781409138145453,3.739474816067431
30.8,3.7796241899963,3.74305570468348
31,3.782345895284972,3.74699640341485
31.2,3.800065933972739,3.766107523201896
31.4,3.810171913306384,3.778309219068039
31.6,3.810224761007838,3.776466796785246
31.8,3.811773549032556,3.779403090441794
32,3.816870043160716,3.781048346505953
32.2,3.816628676126344,3.780330719817687
