#Digilent WaveForms Logger
#Device Name: Discovery3
#Serial Number: SN:210415BB05B2
#Date Time: 2026-03-11 13:06:04.732

Time (s),C1 DC (V),C2 DC (V)
0,2.78370584931052,2.741963848919066
0.2,2.784790687072031,2.741886975974125
0.4,2.784665769899199,2.742249119992989
0.6000000000000001,2.787542855216235,2.742088323769802
0.8,2.791847850389925,2.741720782599226
1,2.804427063222183,2.741535917996663
1.2,2.836792776660509,2.742064644374359
1.4,2.859671597743639,2.741679307189954
1.6,2.603915925058786,2.743784439479942
1.8,2.692082095801028,2.756246462826734
2,2.698336081114518,2.757111952023247
2.2,2.691182419645517,2.755849942354973
2.4,2.706088293898572,2.756996861409296
2.6,2.696046500677679,2.755793685557205
2.8,2.691080519933847,2.755867835614769
3,2.689712903173023,2.755650344986893
3.2,2.6961349208191,2.75632727423375
3.4,2.700823767437812,2.756706825282511
3.6,2.697518255634778,2.756323044033741
3.8,2.694985556306088,2.756854639167727
4,2.69686675929283,2.755452498046437
4.2,2.695985915605549,2.756688202677861
4.4,2.697427937647721,2.755988128888487
4.600000000000001,2.702059848897443,2.756324259608451
4.800000000000001,2.701005473991487,2.755121715855201
5,2.694665307021153,2.756019442093126
5.2,2.699758735398697,2.755846733237748
5.4,2.703459485720487,2.756615851670898
5.600000000000001,2.695753405184145,2.755608723708689
5.800000000000001,2.703662555203223,2.755715791529516
6,2.705367404534242,2.757464225575408
6.2,2.70206179540579,2.756484423732775
6.4,2.692070270762842,2.757046943087516
6.600000000000001,2.709753812419365,2.758490510995099
6.800000000000001,2.706055057268605,2.759604074679255
7,2.718639768986986,2.759201768071851
7.2,2.702405451453521,2.758171057960206
7.4,2.699311476444495,2.757796563702258
7.600000000000001,2.704167868768713,2.757498602028327
7.800000000000001,2.70176631543952,2.756776113041215
8,2.705923570630128,2.75764685352047
8.200000000000001,2.694354984928802,2.758610220792937
8.4,2.707978645474515,2.757854133320733
8.6,2.698887575590404,2.760047175974057
8.800000000000001,2.70502243459339,2.757533999564001
9,2.699208603478648,2.758406101486934
9.200000000000001,2.705471980694911,2.758094282261255
9.4,2.7112313095761,2.758236164141905
9.600000000000001,2.702309050627886,2.756805286834352
9.800000000000001,2.697378885637505,2.755553244878735
10,2.70283441322928,2.756905158452856
10.2,2.709568115523586,2.760291749606558
10.4,2.708212323800927,2.759137585726938
10.6,2.703950103148006,2.760505107280391
10.8,2.709804713612518,2.760494410222907
11,2.712997230606303,2.760706066092153
11.2,2.701724611498323,2.760931239152184
11.4,2.705175284160918,2.758865588728919
11.6,2.716768055228409,2.761203625134132
11.8,2.710908529830327,2.760320923399699
12,2.703786304471069,2.760598657910394
12.2,2.707112157286257,2.758156276571662
12.4,2.710526965532682,2.757623563108966
12.6,2.70438436915903,2.758835199361035
12.8,2.707784286616597,2.759958487642907
13,2.717891725831311,2.76049066625279
13.2,2.704639751053434,2.75942805946066
13.4,2.711787183695743,2.75988229541983
13.6,2.710043258209773,2.760398525689431
13.8,2.71657875729217,2.760563697981611
14,2.701169613307407,2.75901320812219
14.2,2.709198716903045,2.760830103335973
14.4,2.703065950396529,2.759783833867955
14.6,2.694826818550836,2.759034796729094
14.8,2.699142860159405,2.758503785070976
15,2.702254402406199,2.758743642273551
15.2,2.705554561311284,2.759235658294879
15.4,2.707006802522247,2.759078362926867
15.6,2.703729661078314,2.760375235277936
15.8,2.704672209080018,2.760882567540632
16,2.713253342441369,2.759677544014977
16.2,2.701571664605384,2.760300744859447
16.4,2.708605031858871,2.759015201664699
16.6,2.700728145215525,2.75807181844053
16.8,2.700349646668494,2.75984582817839
17,2.700105165220793,2.758698471517189
17.2,2.694651194835714,2.758011963541608
17.4,2.706923637953357,2.759292060961625
17.6,2.708928638870657,2.761505136286252
17.8,2.715899961170763,2.763089078761805
18,2.703351259856712,2.761555801440319
18.2,2.703561774733843,2.760507149445923
18.4,2.689618789494702,2.759178623529258
18.6,2.668698253128734,2.759151880885587
18.8,2.637769938775187,2.756357566355599
19,2.688268156019159,2.742848495573115
19.2,2.758884461565148,2.741336806858492
19.4,2.78090039550044,2.741657524091079
19.6,2.77942426089957,2.741618966061128
19.8,2.779411413944515,2.740425855167673
20,2.779003523121549,2.740480945013703
20.2,2.78118867338585,2.74136777970219
20.4,2.781832335031686,2.741592028925475
20.6,2.780248412531386,2.741526485136881
20.8,2.782105478814715,2.74121335309051
21,2.780628468285109,2.741102200938649
21.2,2.782867001540664,2.741396370019484
21.4,2.779915948906635,2.741710134164694
21.6,2.781946984372987,2.741901417001753
21.8,2.780649636563303,2.741303889095228
22,2.781079328279734,2.741347503915962
22.2,2.778241951732843,2.740492857645929
22.4,2.781270816037849,2.741092573586898
22.6,2.78069927252602,2.741327082260769
22.8,2.780445058536601,2.741158311867459
23,2.779497838914869,2.740913397874023
23.2,2.780196538084111,2.741212866860623
23.4,2.780552457134361,2.740861711637185
23.6,2.781739145944846,2.741073464752396
23.8,2.780997477603953,2.741161569607673
24,2.780784286277859,2.741399968120638
24.2,2.782059930519544,2.741402593762016
24.4,2.780735769557424,2.741288524230839
24.6,2.779874682929779,2.741411783506851
24.8,2.781874428274587,2.740889426740676
25,2.781844646696959,2.741096949655882
25.2,2.780158727159583,2.741570488941551
25.4,2.781525224678114,2.739990533550998
25.6,2.77882794806911,2.740633961558741
25.8,2.778542346632674,2.740208072801854
26,2.778712520124463,2.740219450581189
26.2,2.778817777563047,2.740161054371907
26.4,2.778174018591759,2.739693349844873
26.6,2.775581561456969,2.740029820925765
26.8,2.780145004275795,2.740554365726415
27,2.780837620606425,2.741295671810145
27.2,2.78043999761493,2.741591445449606
27.4,2.778709454373809,2.741248799249172
27.6,2.780562432989597,2.740900561405032
27.8,2.780591825265585,2.740755178669228
28,2.780455569681686,2.740763736315216
28.2,2.780012641708504,2.74077268294511
28.4,2.782133167895902,2.740930270051047
28.6,2.780704674086667,2.740253583919186
28.8,2.779960523947703,2.739497058840035
29,2.781409358769042,2.740928082016573
29.2,2.780863071202984,2.74141178350686
29.4,2.783039072878104,2.741491622454083
29.6,2.781920414534155,2.740661433547264
29.8,2.78059299317057,2.740864240032618
30,2.78206382353624,2.741609679070322
30.2,2.781674327217067,2.741318962221686
30.4,2.780229774714047,2.740378690868767
30.6,2.778418110737801,2.739989755583186
30.8,2.780010597874806,2.739616817260869
31,2.778708383794237,2.739637627899971
31.2,2.778705707345291,2.73995761578775
31.4,2.781196070117555,2.740721823299066
31.6,2.781101323823986,2.740874839844097
