Time (s),Channel 1 (V),Channel 2 (V)
-2.56,0.036000903,0.03131261
-2.5596875,0.036000903,0.034499166
-2.559375,0.036000903,0.036889083
-2.5590625,0.036000903,0.037685722
-2.55875,0.036798193,0.037685722
-2.5584375,0.036798193,0.038482362
-2.558125,0.036000903,0.037685722
-2.5578125,0.036798193,0.036889083
-2.5575,0.037595482,0.043262196
-2.5571875,0.039987352,0.06477145
-2.556875,0.040784642,0.079907592
-2.5565625,0.04716296,0.123722739
-2.55625,0.051946699,0.200996727
-2.5559375,0.053541279,0.244015235
-2.555625,0.053541279,0.266321128
-2.5553125,0.052743989,0.267117767
-2.555,0.054338569,0.275084158
-2.5546875,0.051946699,0.262337933
-2.554375,0.051149409,0.242421957
-2.5540625,0.04875754,0.217726147
-2.55375,0.04875754,0.186657224
-2.5534375,0.04636567,0.152401745
-2.553125,0.043973801,0.1229261
-2.5528125,0.043176511,0.096637012
-2.5525,0.042379221,0.071941201
-2.5521875,0.040784642,0.050431947
-2.551875,0.035203613,0.015379829
-2.5515625,0.029622584,-0.01011262
-2.55125,0.027230715,-0.020468928
-2.5509375,0.024041555,-0.036401709
-2.550625,0.021649686,-0.054724407
-2.5503125,0.020852396,-0.06826727
-2.55,0.019257817,-0.078623578
-2.5496875,0.018460527,-0.087386608
-2.549375,0.018460527,-0.091369803
-2.5490625,0.020055106,-0.0770303
-2.54875,0.020852396,-0.065080714
-2.5484375,0.021649686,-0.054724407
-2.548125,0.022446976,-0.046758016
-2.5478125,0.026433425,-0.023655484
-2.5475,0.030419874,-0.004536147
-2.5471875,0.026433425,-0.009315981
-2.546875,0.015271367,-0.067470631
-2.5465625,0.015271367,-0.104912667
-2.54625,0.016068657,-0.104912667
-2.5459375,0.016865947,-0.098539554
-2.545625,0.017663237,-0.081810134
-2.5453125,0.019257817,-0.066673992
-2.545,0.021649686,-0.04357146
-2.5446875,0.023244266,-0.023655484
-2.544375,0.028028005,-0.006129425
-2.5440625,0.032811743,0.009803356
-2.54375,0.035203613,0.024142859
-2.5434375,0.036000903,0.029719332
-2.543125,0.036000903,0.033702527
-2.5428125,0.036000903,0.036092444
-2.5425,0.036000903,0.037685722
-2.5421875,0.036000903,0.037685722
-2.541875,0.036000903,0.037685722
-2.5415625,0.036798193,0.038482362
-2.54125,0.036798193,0.036889083
-2.5409375,0.036798193,0.038482362
-2.540625,0.039987352,0.05680506
-2.5403125,0.041581931,0.075924397
-2.54,0.043973801,0.09823029
-2.5396875,0.052743989,0.178690833
-2.539375,0.051946699,0.230472371
-2.5390625,0.053541279,0.259151377
-2.53875,0.052743989,0.266321128
-2.5384375,0.054338569,0.272694241
-2.538125,0.052743989,0.268711045
-2.5378125,0.051149409,0.24799843
-2.5375,0.04955483,0.228082454
-2.5371875,0.04875754,0.196216892
-2.536875,0.04636567,0.16514797
-2.5365625,0.045568381,0.133282408
-2.53625,0.043176511,0.10619668
-2.5359375,0.043176511,0.079110953
-2.535625,0.040784642,0.058398338
-2.5353125,0.037595482,0.028922693
-2.535,0.029622584,-0.005332786
-2.5346875,0.027230715,-0.018079011
-2.534375,0.024838845,-0.030028596
-2.5340625,0.022446976,-0.048351294
-2.53375,0.020852396,-0.063487436
-2.5334375,0.019257817,-0.076233661
-2.533125,0.019257817,-0.082606773
-2.5328125,0.018460527,-0.09375972
-2.5325,0.019257817,-0.083403412
-2.5321875,0.020852396,-0.069860549
-2.531875,0.022446976,-0.057910963
-2.5315625,0.022446976,-0.049944572
-2.53125,0.024041555,-0.034808431
-2.5309375,0.028028005,-0.010909259
-2.530625,0.030419874,0.000243687
-2.5303125,0.018460527,-0.045164738
-2.53,0.015271367,-0.096946276
-2.5296875,0.016865947,-0.104912667
-2.529375,0.016865947,-0.10172611
-2.5290625,0.018460527,-0.088183247
-2.52875,0.019257817,-0.072250466
-2.5284375,0.020852396,-0.051537851
-2.528125,0.023244266,-0.032418513
-2.5278125,0.026433425,-0.013299176
-2.5275,0.031217164,0.003430244
-2.5271875,0.035203613,0.019363024
