Time (s),C1 DC (V),C2 DC (V)
0,3.782670476,3.740722142
0.2,3.781356047,3.739367116
0.4,3.78026644,3.738561482
0.6,3.781660822,3.739681318
0.8,3.784073616,3.740827605
1,3.786250153,3.740559838
1.2,3.78720511,3.739265591
1.4,3.801767134,3.741251403
1.6,3.823493427,3.741769189
1.8,3.873368616,3.741551747
2,3.902280153,3.738364753
2.2,3.549788855,3.736718233
2.4,3.560292068,3.736298179
2.6,3.556902856,3.735477958
2.8,3.582229168,3.735371376
3,3.593055258,3.735971189
3.2,3.562984186,3.735781268
3.4,3.586497423,3.735194048
3.6,3.594864879,3.736349817
3.8,3.581734658,3.73665512
4,3.556958867,3.736430871
4.2,3.584681088,3.735430113
4.4,3.585015498,3.736595411
4.6,3.567022072,3.73616043
4.8,3.582397006,3.736781637
5,3.591372015,3.736610728
5.2,3.588917274,3.735639094
5.4,3.556247856,3.735774558
5.6,3.586289633,3.737127444
5.8,3.598248007,3.738608841
6,3.568275137,3.735669143
6.2,3.582091356,3.734742438
6.4,3.58671042,3.733619879
6.6,3.592303128,3.734185607
6.8,3.5666244,3.733626346
7,3.591071426,3.733790302
7.2,3.589135575,3.734357879
7.4,3.567384755,3.734305512
7.6,3.583436442,3.734302789
7.8,3.592796957,3.734680978
8,3.597922405,3.733840919
8.2,3.575666078,3.734595791
8.4,3.575126651,3.734254263
8.6,3.600139527,3.734068475
8.8,3.603254427,3.73537264
9,3.58880642,3.735779518
9.2,3.60823379,3.735161082
9.4,3.606470205,3.735561006
9.6,3.60015943,3.735709889
9.8,3.586234791,3.736311842
10,3.603999988,3.735674395
10.2,3.596269674,3.735374002
10.4,3.609372935,3.735567862
10.6,3.581639133,3.734993332
10.8,3.607265548,3.734757268
11,3.589485168,3.733484561
11.2,3.597794082,3.734140971
11.4,3.601459065,3.733650852
11.6,3.594742541,3.732219731
11.8,3.588414296,3.731845432
12,3.601958831,3.734014017
12.2,3.599092208,3.735570633
12.4,3.600127605,3.733705796
12.6,3.594828041,3.732312893
12.8,3.599919036,3.732829658
13,3.594722297,3.733430152
13.2,3.599074982,3.733769589
13.4,3.603066881,3.734051602
13.6,3.610607654,3.733952314
13.8,3.591161014,3.735625966
14,3.600514376,3.734696878
14.2,3.60458871,3.734083207
14.4,3.60342061,3.735950719
14.6,3.589412125,3.736051028
14.8,3.595595987,3.736658232
15,3.595377686,3.73791008
15.2,3.573302043,3.736984833
15.4,3.552769738,3.73652379
15.6,3.592039376,3.736809741
15.8,3.517345087,3.736345149
16,3.540264784,3.736527436
16.2,3.58703135,3.735510632
16.4,3.610544393,3.735447082
16.6,3.599077658,3.735966813
16.8,3.595495499,3.735379302
17,3.602927803,3.73551389
17.2,3.598927096,3.734746182
17.4,3.596255075,3.735819194
17.6,3.592072174,3.736753339
17.8,3.597321859,3.734677623
18,3.595587471,3.733148382
18.2,3.59736074,3.734758629
18.4,3.59104072,3.732708246
18.6,3.598059585,3.734777057
18.8,3.592393543,3.733556329
19,3.591659369,3.735205134
19.2,3.591374886,3.734011586
19.4,3.594495577,3.73254497
19.6,3.590404357,3.7338875
19.8,3.60022566,3.735599904
20,3.585359932,3.733771485
20.2,3.591635913,3.732676253
20.4,3.590222359,3.733931552
20.6,3.597184143,3.736282765
20.8,3.599560051,3.736309654
21,3.593748264,3.733901212
21.2,3.57651675,3.732302877
21.4,3.596978933,3.732550125
21.6,3.597520403,3.734668725
21.8,3.588991095,3.733306893
22,3.579879781,3.733310394
22.2,3.597332321,3.734804724
22.4,3.599587011,3.73569574
22.6,3.591804676,3.734972668
22.8,3.581560737,3.733194963
23,3.586021502,3.731462769
23.2,3.600722166,3.733484318
23.4,3.580281249,3.731567162
23.6,3.582408928,3.733351577
23.8,3.582972686,3.733312727
24,3.599800396,3.734998535
24.2,3.599274888,3.734702227
24.4,3.595755358,3.734656424
24.6,3.590549324,3.733209598
24.8,3.5940781,3.734724156
25,3.590962957,3.735663649
25.2,3.60099638,3.735532318
25.4,3.608594819,3.735630926
25.6,3.573534943,3.736885885
25.8,3.58204172,3.736232878
26,3.579216557,3.736057495
26.2,3.584123316,3.735987284
26.4,3.566759196,3.734972862
26.6,3.594670276,3.736143704
26.8,3.61118056,3.736168453
27,3.596594546,3.735471005
27.2,3.561877304,3.735100352
27.4,3.580588408,3.735472512
27.6,3.597357237,3.736317725
27.8,3.545399673,3.733530899
28,3.510866426,3.733733462
28.2,3.378725517,3.733330086
28.4,3.382773086,3.734763492
28.6,3.757263432,3.739149674
28.8,3.760027523,3.738969283
29,3.780830539,3.740677457
29.2,3.781223977,3.74155024
29.4,3.783982422,3.740217873
29.6,3.78498064,3.7398938
29.8,3.782843666,3.740495024
30,3.782438646,3.739534039
30.2,3.779478105,3.740899227
30.4,3.778343193,3.740397972
30.6,3.781409138,3.739474816
30.8,3.77962419,3.743055705
31,3.782345895,3.746996403
31.2,3.800065934,3.766107523
31.4,3.810171913,3.778309219
31.6,3.810224761,3.776466797
31.8,3.811773549,3.77940309
32,3.816870043,3.781048347
32.2,3.816628676,3.78033072
32.4,3.815020714,3.780008204
32.6,3.814807523,3.780102678
32.8,3.816491058,3.779972174
33,3.814360118,3.780145174
33.2,3.817199684,3.779976793
33.4,3.816638895,3.781208316
33.6,3.817352631,3.78175902
33.8,3.817393313,3.780979107
34,3.820784374,3.784176312
34.2,3.838716631,3.801429061
34.4,3.85540721,3.820700394
34.6,3.893564467,3.859686063
34.8,3.90668223,3.871600591
35,3.918135436,3.885028462
35.2,3.920177956,3.886203047
35.4,3.921089749,3.885742539
35.6,3.914861458,3.880692993
35.8,3.914138622,3.879694763
36,3.91526312,3.880840904
36.2,3.914671187,3.879805866
36.4,3.910379233,3.876503831
36.6,3.910954427,3.874836159
36.8,3.908960277,3.875326522
37,3.908965971,3.875890209
37.2,3.909250258,3.875773902
37.4,3.908036124,3.875082143
37.6,3.881463414,3.846430658
37.8,3.808281416,3.765040249
38,3.683330179,3.620617087
38.2,3.599961129,3.542513057
38.4,3.398949301,3.394733354
38.6,2.858049864,2.817284554
38.8,2.761392294,2.734710077
39,2.74552285,2.727308054
39.2,2.767558687,2.74051644
39.4,2.769433661,2.740824369
39.6,2.771785238,2.740607122
39.8,2.775012548,2.74062166
40,2.772090207,2.740023305
40.2,2.771730151,2.738671829
40.4,2.77099841,2.73859306
40.6,2.772390358,2.739964763
40.8,2.771578421,2.739785977
41,2.772832917,2.739964916
41.2,2.783705849,2.741963849
41.4,2.784790687,2.741886976
41.6,2.78466577,2.74224912
41.8,2.787542855,2.742088324
42,2.79184785,2.741720783
42.2,2.804427063,2.741535918
42.4,2.836792777,2.742064644
42.6,2.859671598,2.741679307
42.8,2.603915925,2.743784439
43,2.692082096,2.756246463
43.2,2.698336081,2.757111952
43.4,2.69118242,2.755849942
43.6,2.706088294,2.756996861
43.8,2.696046501,2.755793686
44,2.69108052,2.755867836
44.2,2.689712903,2.755650345
44.4,2.696134921,2.756327274
44.6,2.700823767,2.756706825
44.8,2.697518256,2.756323044
45,2.694985556,2.756854639
45.2,2.696866759,2.755452498
45.4,2.695985916,2.756688203
45.6,2.697427938,2.755988129
45.8,2.702059849,2.75632426
46,2.701005474,2.755121716
46.2,2.694665307,2.756019442
46.4,2.699758735,2.755846733
46.6,2.703459486,2.756615852
46.8,2.695753405,2.755608724
47,2.703662555,2.755715792
47.2,2.705367405,2.757464226
47.4,2.702061795,2.756484424
