Time (s),C1 DC (V),C2 DC (V)
47.6,2.692070271,2.757046943
47.8,2.709753812,2.758490511
48,2.706055057,2.759604075
48.2,2.718639769,2.759201768
48.4,2.702405451,2.758171058
48.6,2.699311476,2.757796564
48.8,2.704167869,2.757498602
49,2.701766315,2.756776113
49.2,2.705923571,2.757646854
49.4,2.694354985,2.758610221
49.6,2.707978645,2.757854133
49.8,2.698887576,2.760047176
50,2.705022435,2.757534
50.2,2.699208603,2.758406101
50.4,2.705471981,2.758094282
50.6,2.71123131,2.758236164
50.8,2.702309051,2.756805287
51,2.697378886,2.755553245
51.2,2.702834413,2.756905158
51.4,2.709568116,2.76029175
51.6,2.708212324,2.759137586
51.8,2.703950103,2.760505107
52,2.709804714,2.76049441
52.2,2.712997231,2.760706066
52.4,2.701724611,2.760931239
52.6,2.705175284,2.758865589
52.8,2.716768055,2.761203625
53,2.71090853,2.760320923
53.2,2.703786304,2.760598658
53.4,2.707112157,2.758156277
53.6,2.710526966,2.757623563
53.8,2.704384369,2.758835199
54,2.707784287,2.759958488
54.2,2.717891726,2.760490666
54.4,2.704639751,2.759428059
54.6,2.711787184,2.759882295
54.8,2.710043258,2.760398526
55,2.716578757,2.760563698
55.2,2.701169613,2.759013208
55.4,2.709198717,2.760830103
55.6,2.70306595,2.759783834
55.8,2.694826819,2.759034797
56,2.69914286,2.758503785
56.2,2.702254402,2.758743642
56.4,2.705554561,2.759235658
56.6,2.707006803,2.759078363
56.8,2.703729661,2.760375235
57,2.704672209,2.760882568
57.2,2.713253342,2.759677544
57.4,2.701571665,2.760300745
57.6,2.708605032,2.759015202
57.8,2.700728145,2.758071818
58,2.700349647,2.759845828
58.2,2.700105165,2.758698472
58.4,2.694651195,2.758011964
58.6,2.706923638,2.759292061
58.8,2.708928639,2.761505136
59,2.715899961,2.763089079
59.2,2.70335126,2.761555801
59.4,2.703561775,2.760507149
59.6,2.689618789,2.759178624
59.8,2.668698253,2.759151881
60,2.637769939,2.756357566
